U/t            ED                       PQMC-ave                 PQMC-err
0              8.88178420e-17           8.88178420e-17           4.57774352e-33
1              2.07148713e-02           2.06673811e-02           2.27759226e-05
2              5.04391256e-02           5.02568025e-02           6.57937220e-05
3              9.43655035e-02           9.43363468e-02           1.18419876e-04
4              1.62018276e-01           1.61952243e-01           7.10006374e-05
5              2.61038595e-01           2.61075086e-01           1.92268043e-04
6              3.69130186e-01           3.68782824e-01           3.23555788e-04
7              4.47890927e-01           4.47755507e-01           4.88534605e-04
8              4.95361062e-01           4.93918172e-01           5.99581784e-04
9              5.24771510e-01           5.24470448e-01           5.51049350e-04
10             5.44567132e-01           5.43304699e-01           5.65856466e-04
11             5.58842455e-01           5.58288302e-01           8.04139342e-04
12             5.69642632e-01           5.69026002e-01           5.44163176e-04
