U/t            ED                       PQMC-ave                 PQMC-err
0              9.76562500e-02           9.76562500e-02           0.00000000e+00
1              1.15557482e-01           1.15479414e-01           1.98118273e-05
2              1.35190119e-01           1.34831887e-01           4.38114049e-05
3              1.56683482e-01           1.56492436e-01           5.64302891e-05
4              1.80552116e-01           1.80212154e-01           3.65661265e-05
5              2.06693244e-01           2.06387109e-01           6.08040631e-05
6              2.31401089e-01           2.31037141e-01           1.09621845e-04
7              2.50026384e-01           2.49832828e-01           1.53732551e-04
8              2.62854387e-01           2.62408404e-01           2.00570716e-04
9              2.71951080e-01           2.71937173e-01           1.95014835e-04
10             2.78707565e-01           2.78397515e-01           1.96868481e-04
11             2.83903642e-01           2.83743921e-01           2.83595194e-04
12             2.87999711e-01           2.87891793e-01           1.98233637e-04
