U/t            ED                       PQMC-ave                 PQMC-err
0              1.56250000e-02           1.56250000e-02           0.00000000e+00
1              1.83185393e-02           1.83086432e-02           3.04350213e-06
2              2.20551606e-02           2.20170504e-02           8.94744788e-06
3              2.75856173e-02           2.75703508e-02           1.62255346e-05
4              3.63334310e-02           3.62992956e-02           1.00919744e-05
5              4.96633764e-02           4.96364440e-02           2.60807869e-05
6              6.49297702e-02           6.48421981e-02           4.65677387e-05
7              7.66766894e-02           7.66165638e-02           7.02238706e-05
8              8.41489761e-02           8.39125006e-02           8.94417356e-05
9              8.89784465e-02           8.89161450e-02           8.29368456e-05
10             9.23197601e-02           9.21024525e-02           8.77353131e-05
11             9.47689811e-02           9.46726931e-02           1.25532436e-04
12             9.66398658e-02           9.65199981e-02           8.38081244e-05
