U/t            ED                       PQMC-ave                 PQMC-err
0              -1.50000000e+00          -1.50000000e+00          0.00000000e+00
1              -1.60645889e+00          -1.60638200e+00          1.03556677e-04
2              -1.73168903e+00          -1.73214956e+00          1.93329097e-04
3              -1.87745409e+00          -1.87772645e+00          2.62937004e-04
4              -2.04584976e+00          -2.04560673e+00          2.32413441e-04
5              -2.23936298e+00          -2.23947000e+00          3.13944693e-04
6              -2.45878233e+00          -2.45882209e+00          6.18194673e-04
7              -2.70005834e+00          -2.70125240e+00          1.03681659e-03
8              -2.95689019e+00          -2.95569629e+00          1.59976943e-03
9              -3.22453371e+00          -3.22697822e+00          1.81399613e-03
10             -3.50001895e+00          -3.49921101e+00          1.91923809e-03
11             -3.78143204e+00          -3.78210017e+00          3.09581705e-03
12             -4.06746132e+00          -4.06861898e+00          2.43729316e-03
